value,home,away,spread,time,difference,neutral,pick,level
-3.083152,Butler,Seton Hall,-5.5,20220105T01:10:51Z,2.416848,-8.083152,Butler,low
7.548977999999999,Arkansas,Vanderbilt,9.0,20220105T01:35:33Z,-1.451022000000001,2.548977999999999,Vanderbilt,low
8.689372500000001,Clemson,Virginia,3.5,20220105T02:04:25Z,5.189372500000001,3.689372500000001,Clemson,high
14.945928,Kansas,Oklahoma State,9.5,20220105T02:04:54Z,5.445928,9.945928,Kansas,high
17.64165725,Duke,Georgia Tech,18.0,20220105T02:05:58Z,-0.3583427499999985,12.641657250000002,Georgia Tech,low
-13.301848750000001,Air Force,Colorado State,-13.5,20220105T02:05:59Z,0.19815124999999867,-18.30184875,Air Force,low
17.7230975,Memphis,Tulsa,10.0,20220105T02:06:01Z,7.7230975000000015,12.723097500000002,Memphis,high
1.2372642499999995,Marquette,Providence,8.5,20220105T02:07:45Z,-7.262735750000001,-3.7627357500000005,Providence,high
-2.3171725,Bowling Green,Buffalo,-8.0,20220106T00:00:00Z,5.6828275,-7.3171725,Bowling Green,high
1.2510100000000008,East Carolina,Tulane,1.0,20220106T00:00:00Z,0.25101000000000084,-3.748989999999999,East Carolina,low
7.288915749999999,East Tennessee State,VMI,3.5,20220106T00:00:00Z,3.7889157499999992,2.2889157499999992,East Tennessee State,medium
0.11005049999999983,Evansville,Indiana State,-6.5,20220106T00:00:00Z,6.6100505,-4.8899495,Evansville,high
9.88818225,Furman,NC Greensboro,3.0,20220106T00:00:00Z,6.88818225,4.88818225,Furman,high
7.0565,Mercer,Samford,6.0,20220106T00:00:00Z,1.0564999999999998,2.0564999999999998,Mercer,low
2.6584114999999997,Robert Morris,Youngstown State,-2.0,20220106T00:00:00Z,4.6584115,-2.3415885000000003,Robert Morris,high
7.05868,The Citadel,Western Carolina,-1.0,20220106T00:00:00Z,8.058679999999999,2.05868,The Citadel,high
